Time,Model,Requests,Prompt,Completion,Tokens
12:00 AM,gpt-4-0613,4,139,50,189
12:45 AM,gpt-4-0613,2,59,2,61
12:55 AM,gpt-4-0613,4,97,4,101
1:00 AM,gpt-4-0613,5,131,5,136
1:05 AM,gpt-4-0613,6,181,118,299
1:05 AM,gpt-3.5-turbo-16k-0613,4,4000,2375,6375
1:10 AM,gpt-4-0613,6,215,151,366
1:15 AM,gpt-4-0613,4,265,81,346
1:20 AM,gpt-4-0613,7,183,59,242
1:25 AM,gpt-4-0613,4,106,61,167
1:50 AM,gpt-4-0613,3,65,74,139
1:55 AM,gpt-4-0613,5,521,303,824
2:05 AM,gpt-4-0613,4,106,26,132
2:10 AM,gpt-4-0613,8,198,121,319
2:20 AM,gpt-4-0613,3,66,27,93
2:55 AM,text-embedding-ada-002-v2,1,4919,0,4919
3:00 AM,gpt-3.5-turbo-16k-0613,1,3969,28,3997
3:00 AM,text-embedding-ada-002-v2,3,9841,0,9841
3:05 AM,text-embedding-ada-002-v2,6,14766,0,14766
3:05 AM,gpt-3.5-turbo-16k-0613,3,11899,85,11984
3:10 AM,text-embedding-ada-002-v2,3,55,0,55
3:10 AM,gpt-3.5-turbo-16k-0613,3,11697,130,11827
3:15 AM,gpt-4-0613,2,4329,37,4366
3:15 AM,text-embedding-ada-002-v2,165,1044476,0,1044476
3:20 AM,gpt-4-0613,8,28004,1490,29494
3:20 AM,text-embedding-ada-002-v2,8,54,0,54
3:35 AM,gpt-4-0613,1,3640,20,3660
3:35 AM,text-embedding-ada-002-v2,2,12,0,12
3:40 AM,text-embedding-ada-002-v2,4,23,0,23
3:40 AM,gpt-4-0613,1,3546,64,3610
3:45 AM,gpt-4-0613,1,3640,20,3660
3:50 AM,text-embedding-ada-002-v2,1,6,0,6
3:55 AM,gpt-4-0613,1,3640,18,3658
3:55 AM,text-embedding-ada-002-v2,1,6,0,6
5:25 AM,gpt-4-0613,1,63,61,124
5:50 AM,gpt-4-0613,7,213,38,251
5:55 AM,gpt-4-0613,7,197,60,257
6:00 AM,gpt-4-0613,4,108,66,174
6:25 AM,gpt-4-0613,7,184,59,243
6:30 AM,gpt-4-0613,3,382,337,719
6:40 AM,gpt-4-0613,1,12,17,29
6:50 AM,gpt-4-0613,1,27,556,583
6:55 AM,gpt-4-0613,1,265,150,415
7:05 AM,gpt-3.5-turbo-16k-0613,5,7280,1750,9030
7:15 AM,gpt-3.5-turbo-16k-0613,1,12,12,24
7:20 AM,gpt-4-0613,1,1298,1134,2432
7:25 AM,gpt-4-0613,2,4935,37,4972
12:55 PM,gpt-4-0613,16,48310,2824,51134
12:55 PM,text-embedding-ada-002-v2,17,144,0,144
1:00 PM,text-embedding-ada-002-v2,11,113,0,113
1:00 PM,gpt-4-0613,12,35617,1729,37346
1:05 PM,text-embedding-ada-002-v2,15,203,0,203
1:05 PM,gpt-4-0613,12,34352,947,35299
1:05 PM,gpt-3.5-turbo-16k-0613,1,2235,572,2807
1:10 PM,text-embedding-ada-002-v2,8,138,0,138
1:10 PM,gpt-4-0613,9,25972,1163,27135
1:55 PM,gpt-4-0613,1,3313,18,3331
1:55 PM,text-embedding-ada-002-v2,3,9844,0,9844
2:00 PM,text-embedding-ada-002-v2,163,1044461,0,1044461
2:05 PM,gpt-4-0613,3,9479,62,9541
2:05 PM,text-embedding-ada-002-v2,3,23,0,23
2:10 PM,gpt-4-0613,15,45360,2894,48254
2:10 PM,text-embedding-ada-002-v2,16,136,0,136
2:15 PM,gpt-4-0613,25,72911,2682,75593
2:15 PM,text-embedding-ada-002-v2,25,306,0,306
2:20 PM,gpt-4-0613,9,25843,1139,26982
2:20 PM,text-embedding-ada-002-v2,8,138,0,138
2:40 PM,text-embedding-ada-002-v2,1,15,0,15
2:40 PM,gpt-4-0613,1,3192,40,3232
3:30 PM,text-embedding-ada-002-v2,3,21956,0,21956
3:35 PM,text-embedding-ada-002-v2,3,21956,0,21956
3:50 PM,text-embedding-ada-002-v2,2,18,0,18
3:55 PM,text-embedding-ada-002-v2,110,784388,0,784388
3:55 PM,gpt-3.5-turbo-16k-0613,6,13410,3432,16842
4:00 PM,text-embedding-ada-002-v2,300,2281535,0,2281535
4:25 PM,text-embedding-ada-002-v2,164,1044470,0,1044470
5:15 PM,gpt-4-0613,1,1107,265,1372
5:15 PM,gpt-3.5-turbo-16k-0613,1,1386,611,1997
